"imputation","analysis","n","limited","colectomy","RD_pp","CSM_limited_pct","CSM_colectomy_pct","max_abs_weighted_SMD","ESS_limited","ESS_colectomy"
7,"Q5",1390,460,930,-4.24840541052994,38.4390221144468,34.1906167039169,0.00072477277464969,449.599876998005,869.04314536673
7,"bottom_decile",696,390,306,1.56499029644364,5.06158094984284,6.62657124628648,0.00480083444424831,363.518138604321,297.972214981525
7,"risk_lt_5pct",650,364,286,1.64302912624638,5.40548461532519,7.04851374157157,0.00774680563482671,338.565975297841,277.79493537405
8,"Q1",1391,724,667,-0.742294401361573,6.36096883383885,5.61867443247728,0.00123143457410763,688.53725657044,645.644362842915
8,"Q2",1390,629,761,-3.10402173546461,11.488165511137,8.38414377567243,0.00200446874755497,580.742782181644,708.87499971446
8,"Q3",1390,562,828,-0.907082925071578,14.3050535348788,13.3979706098072,0.00282080923636413,533.075397554767,762.397423990617
8,"Q4",1390,507,883,-3.255299230411,23.8844833757457,20.6291841453347,0.00503446768764934,491.125939328575,824.372086886563
8,"Q5",1390,455,935,-5.61801237798605,39.2665925335274,33.6485801555413,0.000649342946188511,445.886426933536,879.089208343852
8,"bottom_decile",696,392,304,1.88381294232539,4.71777038821927,6.60158333054466,0.00316738452508544,361.386992934613,293.329753686098
8,"risk_lt_5pct",586,333,253,1.44984092692646,5.4277194967652,6.87756042369166,0.00951324280812946,302.236433260475,240.696160856403
9,"Q1",1391,708,683,-0.962275998510274,6.59662890981503,5.63435291130475,0.00843309312736295,670.072598975604,659.849492974628
9,"Q2",1390,650,740,-4.33070867306853,11.4413446928283,7.11063601975973,0.00622891347367316,606.275723678837,691.514740324002
9,"Q3",1390,557,833,0.361781418327151,14.7653024973622,15.1270839156893,0.00152501142459669,531.701711316265,769.865764621041
9,"Q4",1390,504,886,-3.96773938694756,23.3603567975621,19.3926174106145,0.00241347644041086,492.441684381716,835.984451521556
9,"Q5",1390,458,932,-4.48419025585894,38.6053082748317,34.1211180189728,0.00161616819010149,449.097141788977,875.155269249594
9,"bottom_decile",696,384,312,1.3074753153835,5.13111245759201,6.43858777297551,0.0149027616334218,355.91976786073,302.607475253553
