"replicate","Q1","Q2","Q3","Q4","Q5","bottom_decile","risk_lt_5pct","overall"
124,0.00956568204815195,-0.00643496840192613,-0.0304737906419822,-0.0642939629680333,-0.115146300915373,0.0215981120281098,0.0197504159412596,-0.0362775427317416
125,-0.000100538644458976,-0.0367562871358603,-0.0149537072763497,-0.0202140810263005,-0.0842891713965875,0.0197742499124357,0.0370790858648503,-0.0290940695147863
126,-0.0108269787823637,-0.0131548865963757,0.0417789911728476,-0.0618575718687946,-0.102246435196473,0.0198926419644925,0.00342448197433149,-0.0282525962417886
127,0.014913042193436,-0.0386500608853969,-0.0181075005776446,-0.0160106698358475,-0.0343943000868572,0.0365279606049088,0.0476999083164041,-0.0185031283220112
128,0.0156871407419256,-0.037001466536338,0.00412304575428507,-0.0337203810772722,0.00680784437215382,0.0257299929948105,0.0314298202670136,-0.00694699275418031
129,0.00907010195784408,-0.0307533715911774,-0.0189009405073339,-0.0125350261234145,-0.0149827443181418,0.0299270477935429,0.031225100392396,-0.0117447144442069
130,-0.00906197524502188,-0.0695146417173446,0.0192881209765527,0.00217842505337554,-0.0186809280216976,0.0289565355056235,0.013604775040518,-0.0102130483038409
131,-0.0237466794737438,0.00262442935645521,-0.0561236521804629,-0.0674557517995831,-0.0675824497932743,0.0074465194515665,0.0161165415420728,-0.0400852487812886
132,-0.00575564242943387,-0.0173818783740973,-0.0201422240913675,0.0169691607474115,-0.126337464041677,0.0258207672443589,0.0266417279155506,-0.0298802889931014
133,-0.0171018273611113,-0.0157321548808185,-0.0228781405930929,-0.0378137896634112,-0.0870775585733771,0.00117187502130089,0.00716903555379161,-0.0341308547294728
134,0.0145040232191516,0.0113371957943582,0.0193119785237539,-0.0267049759144322,-0.100844564774682,0.0551014419084502,0.0520598745587591,-0.0133769287093058
135,0.00647124502255619,-0.0355030150817145,0.0187213010582611,-0.0395181620117205,-0.0693576232510865,0.0556892775612248,0.0284482208049217,-0.0220379353702133
136,-0.0114714850612489,-0.0265703135035062,-0.0143613568169136,-0.0425260169828238,-0.084584184338845,-0.0365106390504162,-0.00725560509510681,-0.0358749043405111
137,0.0109708280860845,-0.0420512631721288,-0.0401239128209117,-0.0329721868319337,-0.0438921781918898,0.020629686834532,0.00655826527213012,-0.0287837477392228
138,-0.009682040864276,0.0100508107726718,0.0420696834033384,-0.0415042015138292,-0.0271015511414128,0.0282731478108659,0.0125279200702769,-0.00747402167805969
139,-0.00285633965902725,-0.051824803803052,-0.0247886385314407,-0.0115738763225154,-0.0200241640709687,0.024050231088148,0.00927552207241707,-0.0255327179437856
140,0.01205172016101,-0.0763188694089932,-0.0351399977000912,-0.0244407273194705,-0.05880466165443,0.0301279707974808,0.0253811048914834,-0.0344408374072989
141,-0.0277775928291103,-0.0302786261219876,-0.0368552635123473,-0.0317765846414781,-0.0625647753449389,-0.00913166131837551,-0.00937635442321859,-0.0332210563259741
142,0.00815289457280275,-0.0233102121284134,-0.0690638332242107,-0.0768362433071339,-0.0979135101338595,0.0587584776452487,0.0368410886148242,-0.0524794458026938
143,-0.0206037251346388,0.00823060689328865,-0.0206167433125758,-0.0816887096518353,-0.024151917049638,0.0139223594052491,-0.0495157032519256,-0.0264246603577401
144,0.020497589369537,-0.0715411704966237,-0.00736632002879514,-0.0831635991269433,-0.059859795434503,0.0151634028509791,0.0186561626204648,-0.0372264992011919
145,0.00740118283183258,-0.0209088324276158,-0.0276002784069421,-0.0730529067507354,-0.0654916511660438,0.0211216617087708,0.0246847816736741,-0.0348707632572724
146,-0.00119301290754296,-0.0378930372376168,0.00531970115810093,-0.0035564339051386,-0.0576572358793745,0.0597994252765227,0.0581018960373847,-0.019023711182164
147,-0.00206991270151684,-0.0220605665358143,0.000796380449228806,-0.0439293169696204,-0.0787612883998969,0.00280954191015588,0.0100348851853898,-0.0258312837044544
148,0.00935858258833035,-0.0166199383978235,-0.0144929601798775,0.0071258749138447,-0.0455750288954596,-0.00579946379111044,0.0231154846693993,-0.00751408772801784
