"replicate","nonmucinous_low","nonmucinous_high","mucinous_low","mucinous_high","GCA_low","GCA_high","SRCC_low","SRCC_high"
135,-0.0512594488138144,-0.0795979814379724,0.0121873493664495,-0.0227132932018509,-0.0192969216196908,-0.0296578230279326,NA,0.0865877581535564
136,-0.0603243867535773,-0.0993391476778596,-0.0507224150801428,-0.0662771118989962,-0.0355074389871486,0.0877218275223535,NA,0.138908430488667
137,-0.030659298328138,-0.124814411743239,0.010884781554813,0.0393198264658433,-0.00104138053189021,-0.0681570996501795,NA,0.0375619087274336
138,-0.0370163992287611,-0.0845724583788717,-0.00114240785754241,-0.0502436052870264,-0.00581084215309983,0.023007318268211,NA,0.163936809434065
139,-0.0287196776945169,-0.0750042137749378,0.0268052746013097,-0.0305856918054884,0.000870748282182601,0.0783814785121364,NA,0.0149502523223922
140,-0.0500161423531605,-0.0554056561200063,-0.0362685874226446,-0.0180817177106437,-0.0226585272170037,0.0464233927790303,NA,0.0476234488435134
141,-0.0881794316002789,-0.126528969488599,0.0394160220596624,-0.0585751982904126,-0.0209608863421748,0.0492289128294392,NA,-0.018359252769669
142,-0.0466188747143723,-0.0764411486387174,-0.092912932144946,0.00513349597408716,-0.00178830940824613,0.0239924231684172,NA,0.0718046343056034
143,-0.0337682205616193,-0.088837234630937,0.010213739532968,0.00262447881923264,0.00822787620710427,0.0180681789640193,NA,0.079126928636994
144,0.0115542115079753,-0.0670463575703846,-0.0857588822212419,-0.0686330790452876,-0.0239046841967055,0.0124861449102874,NA,-0.0416343210841881
145,-0.00489291699534111,-0.0629403558415321,-0.0565436476056438,-0.0176712023484603,-0.0135267824283964,0.0537750819343574,NA,0.0779454269630752
146,-0.0138378928803131,-0.0677029438157745,-0.0073433292494369,-0.115011376170023,-0.0237554666692465,0.00462648333948132,NA,0.108635866239124
147,-0.0223955796345451,-0.0763045827846703,-0.0172342717156549,-0.00345858021565257,-0.011196669367824,0.0764951693254576,NA,0.0796090540075637
148,-0.0468116802490842,-0.104630357631667,-0.0295220620628963,0.0196158827270794,-0.00850188149250976,-0.0314685325688156,NA,-0.0247545020937027
149,-0.0547372470910856,-0.0572456885009806,-0.0179248610358819,-0.00337114849524928,-0.027365672610244,0.0190638190091351,NA,-0.0513247663678279
150,-0.0147077048674072,-0.0676764978891339,-0.0300309096066465,-0.0313220065971603,-0.00229246505782875,0.0690190625601468,NA,0.138623278158326
151,-0.0246082127604111,-0.0799904519639744,-0.0297769370160278,-0.0485904842626899,-0.014399628106605,-0.00464574709096932,NA,0.128620609793749
152,-0.0586734261895703,-0.0772643668934285,-0.0286795257619342,-0.0818367788018712,-0.0254083847509852,0.048985486521553,NA,0.0440513228116246
153,-0.0340908349442574,-0.0539653935867586,-0.0131611537041447,-0.08638126162319,-0.0131940555117362,-0.0427629214191192,NA,-0.0498126069618544
154,-0.0778492438359859,-0.0845802117591072,-0.0291770435317816,-0.04254365389353,-0.0129188879411647,-0.00118047232952753,NA,0.0837594013909108
155,-0.0634006253891577,-0.10874957353468,-0.0135047849386479,-0.00211032035496656,-0.00924897038527039,-0.000714658502652066,NA,0.0433273979645238
156,-0.0195306217099847,-0.0608262436134142,-0.0229806980864529,-0.0671202223059827,-0.0336035782196546,0.0507197510204074,NA,-0.0324480009085124
157,-0.00947806216580478,-0.0790233452619337,-0.0219451421579146,-0.0972968071311441,-0.029552120265785,0.0191046564800929,NA,0.0517702562281109
158,-0.0512330452051085,-0.0766917448475406,-0.0387176286612755,0.0309541961385005,-0.0154828127402102,0.0693401150191929,NA,-0.00128053757110314
159,-0.0470544740069294,-0.0750272156190725,0.000959892648143543,0.0172512708350118,-0.0219055384705494,0.0267295734518425,NA,0.0385515581848415
160,0.0026424846015284,-0.081836993082273,-0.0133823165167316,-0.0799719001496809,-0.0170681316477474,-0.0337901829573708,NA,0.00417568311840505
161,-0.038741175530735,-0.0622769937960087,0.0110551966604824,0.0190034892761879,-0.00852990908771274,-0.0124034181445128,NA,0.0787395295440679
