"replicate","cancer_Q1","cancer_Q2","cancer_Q3","cancer_Q4","cancer_Q5","cancer_bottom_decile","cancer_risk_lt_5pct","other_Q1","other_Q2","other_Q3","other_Q4","other_Q5","other_bottom_decile","other_risk_lt_5pct"
83,0.00843197542070009,-0.0796407184713038,-0.0577958864637096,-0.0212946130940005,-0.010505964570768,-0.0156915442664875,-0.02428857302717,-0.056300788058054,0.00520634547527794,-0.0332518357061792,-0.083550609295915,-0.0208176521627431,-0.0116859223667954,-0.0261119584872675
84,-0.0078087248608869,-0.028842083802852,-0.0156689405734934,-0.0305671232045378,-0.0904714895288395,-0.0183615655995882,-0.00593132644304448,0.000189583374079177,-0.0572736766955329,-0.0179102241676444,-0.034979137575378,0.0071398688722934,0.0236637819106952,0.0220066344709256
85,-0.00750905040558694,-0.0397751733163635,-0.0280895208390295,0.000487434095747252,-0.098845040028706,0.00553402472929755,0.0179771760361467,-0.028546157540344,-0.0174269157245066,-0.0563979647733338,-0.0482119532017492,0.00970716932850041,-0.0313406648679058,-0.00170081359350009
86,-0.0361393084991258,-0.0138995912866535,0.0173727833399192,-0.0383353503336274,-0.00974293040116403,0.00860993930436663,0.0139763930384617,-0.0316959957661278,-0.0371751678246079,-0.0754787478362921,-0.0399318005615131,-0.0170220754912305,-0.0132066787790053,0.00713660005784263
87,-0.0100445447446239,-0.0299202575673231,-0.0743205989715399,-0.0331473384090752,-0.0804757279478709,0.00185942042037422,-0.0100149207637218,-0.040763341273824,-0.0506812369519462,-0.0370879256723734,-0.0185264394943358,0.0140229821765649,-0.0100856742553034,0.00311065512348029
88,-0.0104504411505594,-0.0789346972995787,-0.0201876169198179,-0.0250204723256903,-0.0310510707949005,0.00885992682333973,0.00418179789033385,-0.0360427692206743,-0.005267780586923,-0.0763161230627494,-0.0806549407857006,-0.00978170602181883,-0.0239556701393234,-0.00452736614322424
89,0.00300994284014779,-0.0508479126198869,0.0198010365397376,-0.0383255963961275,-0.102919459865384,-0.0184161617804847,-0.00322702694754798,-0.0330854671558562,-0.0290584358105463,-0.026121841591718,-0.0419716683969852,0.00513243994993334,-0.021164754214905,-0.0146524910873406
90,0.0141874334301861,-0.0271686236815582,-0.00164070059226409,0.0341829964709958,-0.0640670378606756,0.0434637924991858,0.0381883071027276,-0.0522305017964013,-0.0340255433210943,-0.0227148938533437,-0.0408592342605987,0.0113253419489453,-0.0500011334157839,-0.0432343376532276
91,0.000562857901588915,-0.0509896006364577,-0.0315057882091268,-0.0224527485169912,-0.106328196210629,0.0282319592175974,0.0184398810820873,-0.0299996688729088,-0.0173973141827429,-0.0422602269790898,-0.0367969154903669,0.0163949141041442,-0.0258858680033646,-0.0220454116773714
92,-0.0288180367333039,-0.0170320422029926,-0.0471350284471124,-0.0184079733489272,-0.0532695115339195,0.0108440955395057,0.00741294427008177,-0.0311094483231023,-0.0323255984971268,-0.0341192266557132,-0.0383773002777774,0.0188590196783586,-0.0060447532668943,-0.0163066182251729
93,-0.0178519369215476,-0.0342995556088348,-0.00241933865193888,-0.0548657654441202,0.0277936648388449,0.017180331202205,0.0146038142844887,-0.0511279533677461,-0.0296627384222652,-0.0744926765798473,-0.0676597987380559,0.00182577693644681,-0.0256818160679339,-0.0229037361550508
94,0.018526281812667,-0.0081202138234162,-0.0249670420857468,0.0163553973601187,-0.0544149160366137,0.0315087532786436,0.0431130590450551,-0.0552312463075122,-0.0112491782353306,-0.0537371675954626,-0.0336205755056274,0.0250013289481526,-0.0302081848572836,-0.0242231118912223
95,-0.0187775575663935,-0.0107308821410914,-0.042491259513666,-0.0664981510221652,-0.0528560735934315,-0.0153151028239609,-0.000693912252976416,-0.0451898290200628,-0.0213801831828945,-0.0541005144934032,-0.0186373554759736,-0.0196110297259397,-0.0333241395394559,0.00388222893651283
96,0.0272308728311707,-0.040574870000318,0.0213445607545875,-0.0408671514207233,-0.0758456299767445,0.00870491544219409,-0.00422026332697157,-0.0377184911214412,-0.052333427921611,-0.0607654221829313,-0.0503775624211559,0.0317030032445531,-0.000115551707742419,0.0224961975702388
97,0.00693046275984256,-0.00292033285503771,0.012337917952147,-0.0405475122537289,-0.0776371842165234,0.0463325887931076,0.0652998328666382,-0.0202916296514945,-0.0477535334743219,-0.0645868230032266,-0.0642860549052837,0.0108732365537203,0.0243488020603892,0.0271678598197621
98,0.00955651205660252,0.00633383913966416,0.01325133178049,-0.0125736528689635,-0.0653781122011607,0.0181645473514564,0.0164391761569551,-0.0179258644256781,-0.0331327997202333,-0.0474877128214937,-0.0388605687647844,-0.0249092841559818,-0.0254396016974625,-0.0250896146846429
