"replicate","RD_3pct","RD_4pct","RD_5pct","RD_7pct","RD_10pct","RD_14pct","RD_20pct","RD_28pct","RD_40pct","RD_50pct","RD_P10","RD_P90","interaction_1","interaction_2","interaction_3"
39,-0.00875250313454859,-0.00903872627451781,-0.00952417383642903,-0.0110573249971961,-0.0142541035781933,-0.0191941618500235,-0.0239087155432345,-0.0228392361429871,-0.0153024412664911,-0.008930264029806,-0.00933199920959773,-0.0132619079355761,-0.0263420190509303,-0.00414350207281311,0.000804510526555228
40,-0.0105979988802454,-0.0176525759384455,-0.0230856091404533,-0.0311865755691747,-0.0396155620206246,-0.0469119794743235,-0.0512031913426561,-0.0491893396800253,-0.0412921512061977,-0.0347291661520206,-0.0121810970551035,-0.0383222980639462,-0.0346394792221718,-0.0451601892219613,-0.00406208461869648
41,0.00293147211654768,-0.0101801195353363,-0.0203019714701334,-0.0346015267507992,-0.0467623014925592,-0.0535868040824691,-0.0549471978962263,-0.0511790863577531,-0.0432277889951155,-0.0371800415618703,-0.0262085727967921,-0.0401254334420522,-0.0324038532309231,-0.0766143492214933,-0.00271166764566614
42,0.0277778721238319,0.0055383972946125,-0.0107089733561905,-0.0303590347635409,-0.040214725281868,-0.0347904381158031,-0.0186789125695746,-0.00596308411477558,0.0000969093157803767,0.00165714738258777,-0.00667913337525095,0.00119578231667705,0.0115904348925844,-0.0683552025480369,0.0314120097437918
43,0.023669459778455,0.0183994239319486,0.0139071226213195,0.00480493948742161,-0.0103503074945359,-0.0322228850533537,-0.0564337212987659,-0.0634598607973164,-0.052378345134927,-0.0405533218591584,0.0134098598434239,-0.0492964150329754,-0.0949312681500977,-0.0884822951195986,-0.0473355920076529
44,0.0105968195173141,0.00560291423312982,0.0016372214612762,-0.00473861192130207,-0.0123658586378628,-0.0207467586948707,-0.0312160149575915,-0.0428007045995855,-0.0565249821339787,-0.0654894952446854,0.00211777207442435,-0.0595788466307747,-0.0367379096749922,-0.0762910240625613,-0.0633720463812878
45,0.00417971363680601,-0.00359553293678681,-0.00957419747838432,-0.0173347380327827,-0.0214984655759566,-0.01904037125976,-0.00964569697937312,0.0002583517954177,0.00927909749327007,0.0145847872040655,-0.0131564650635561,0.00907379649108394,0.00962917033399199,-0.0147629063263758,0.0340885848860878
46,0.045820094740766,0.027915072237042,0.0140269651189358,-0.00640025165871527,-0.0250147742583588,-0.0369677297946599,-0.0382401181352809,-0.0207087985130444,0.0162790528028494,0.0441194257704959,-0.000153167319979162,0.0277724554849212,-0.0592245175682793,-0.0704365989044663,0.0525881321884438
47,0.00951529527037679,-0.00856660093795713,-0.021780130515131,-0.0376356714819524,-0.0451485531997511,-0.0398964881890292,-0.027173330964578,-0.0197037102151097,-0.0187297055913742,-0.0200070102425032,-0.0198169651962873,-0.0190962886888266,0.00875895972992838,-0.0596239252143327,0.0168724169747181
48,-0.0389015747731259,-0.0388985148303011,-0.0386058241835698,-0.0375049493049769,-0.0352164919446615,-0.0320282670327447,-0.0294778085118933,-0.0299664691601572,-0.033222863672827,-0.0359600741216552,-0.0389308638146508,-0.0341077909781644,-0.00112161415116716,0.00657956007855673,-0.000677435232502988
49,-0.00898407869609274,-0.00662903524693234,-0.00484703178431774,-0.00350179765533079,-0.00662915128892787,-0.0165182607903299,-0.0291543894337102,-0.0322362800566714,-0.0258505933542972,-0.0195007906892418,-0.00395607295968136,-0.0254546347838806,-0.039886239836394,-0.0117547683724806,-0.0162788157027148
50,-0.0146219208751016,-0.0132819481946778,-0.0123108943479744,-0.0121181357086114,-0.0158131651151883,-0.0251739955475451,-0.0341975736762366,-0.0236192967541846,0.0104649533326677,0.037703858712167,-0.011997257999779,0.0192106656464348,-0.0406274160416021,0.0250466149480332,0.0514841563133178
51,-0.0227018988286564,-0.0376564731605785,-0.0479719331251902,-0.0577739721517032,-0.0554072770577811,-0.0360950997157442,-0.00568939438993894,0.0118354745166857,0.00982230748625117,0.00222453183030898,-0.0464177446597262,0.00407165689637081,0.0811144369602711,0.00209907374151345,0.0621066506589714
